model,input_tokens,output_tokens,cost_usd,timestamp
MiniMax-M2.7-highspeed,1327,569,0.002368,2026-05-16T06:46:05.046053+00:00
MiniMax-M2.7-highspeed,1269,545,0.001705,2026-05-16T06:46:14.941951+00:00
MiniMax-M2.7-highspeed,1397,600,0.002149,2026-05-16T06:46:29.170947+00:00
MiniMax-M2.7-highspeed,2185,937,0.004937,2026-05-16T06:47:09.393194+00:00
MiniMax-M2.7-highspeed,1281,549,0.001703,2026-05-16T06:47:19.726932+00:00
MiniMax-M2.7-highspeed,1524,654,0.002573,2026-05-16T06:47:34.294200+00:00
MiniMax-M2.7-highspeed,1558,668,0.002679,2026-05-16T06:47:48.730505+00:00
MiniMax-M2.7-highspeed,2390,1025,0.005627,2026-05-16T06:48:30.357724+00:00
MiniMax-M2.7-highspeed,1262,541,0.001593,2026-05-16T06:48:38.909587+00:00
MiniMax-M2.7-highspeed,1420,609,0.00209,2026-05-16T06:48:48.962117+00:00
MiniMax-M2.7-highspeed,1657,711,0.002924,2026-05-16T06:49:05.082246+00:00
MiniMax-M2.7-highspeed,1955,838,0.003044,2026-05-16T06:49:15.177252+00:00
MiniMax-M2.7-highspeed,2327,998,0.005293,2026-05-16T06:49:45.578532+00:00
MiniMax-M2.7-highspeed,1689,725,0.003011,2026-05-16T06:50:04.682334+00:00
MiniMax-M2.7-highspeed,1499,643,0.002453,2026-05-16T06:50:18.346934+00:00
MiniMax-M2.7-highspeed,1291,554,0.001697,2026-05-16T06:50:28.480213+00:00
MiniMax-M2.7-highspeed,2072,889,0.004462,2026-05-16T06:50:55.234487+00:00
MiniMax-M2.7-highspeed,1497,642,0.002403,2026-05-16T06:51:08.786309+00:00
MiniMax-M2.7-highspeed,1625,697,0.002533,2026-05-16T06:51:24.981303+00:00
MiniMax-M2.7-highspeed,1741,747,0.002934,2026-05-16T06:51:40.472755+00:00
MiniMax-M2.7-highspeed,2179,935,0.004475,2026-05-16T06:52:09.667219+00:00
MiniMax-M2.7-highspeed,1780,763,0.003044,2026-05-16T06:52:27.906277+00:00
MiniMax-M2.7-highspeed,984,423,0.001839,2026-05-16T06:52:41.548314+00:00
MiniMax-M2.7-highspeed,1029,441,0.001983,2026-05-16T06:52:52.694688+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1063,456,0.0,2026-05-16T06:53:09.912871+00:00
MiniMax-M2.7-highspeed,2650,1136,0.007749,2026-05-16T06:53:34.613822+00:00
MiniMax-M2.7-highspeed,1005,432,0.001873,2026-05-16T06:53:44.404601+00:00
MiniMax-M2.7-highspeed,725,311,0.00143,2026-05-16T06:53:53.006263+00:00
MiniMax-M2.7-highspeed,763,327,0.001551,2026-05-16T06:54:02.608760+00:00
llama-3.3-70b-versatile,554,238,0.0,2026-05-16T06:54:22.628071+00:00
deepseek-chat,264,114,0.0,2026-05-16T06:54:28.225330+00:00
MiniMax-M2.7-highspeed,678,291,0.001991,2026-05-16T06:54:34.774177+00:00
